client_id,snapshot_id,seq_num,server_timestamp,recv_time,latency_ms,jitter_ms,bandwidth_per_client_kbps
3,96,96,1765134624739,1765134623950,-789,0,0
3,106,106,1765134625247,1765134624311,-936,5.0,9.424
3,116,116,1765134625756,1765134624813,-943,1.0,9.424
3,126,126,1765134626263,1765134625322,-941,18.0,35.84
3,136,136,1765134626771,1765134625828,-943,7.0,35.84
3,146,146,1765134627280,1765134626338,-942,1.0,35.84
3,156,156,1765134627788,1765134626851,-937,5.0,35.84
3,166,166,1765134628296,1765134627353,-943,1.0,35.84
3,176,176,1765134628803,1765134627860,-943,0.0,35.84
3,186,186,1765134629311,1765134628369,-942,12.0,34.048
3,196,196,1765134629932,1765134628995,-937,5.0,34.048
3,206,206,1765134630441,1765134629520,-921,22.0,32.256
3,216,216,1765134630948,1765134630006,-942,0.0,34.048
3,226,226,1765134631457,1765134630514,-943,1.0,34.048
3,236,236,1765134631963,1765134631022,-941,1.0,35.84
3,246,246,1765134632472,1765134631533,-939,1.0,35.84
3,256,256,1765134632979,1765134632041,-938,1.0,35.84
3,266,266,1765134633487,1765134632544,-943,1.0,35.84
3,276,276,1765134633995,1765134633056,-939,4.0,34.048
3,286,286,1765134634504,1765134633562,-942,2.0,34.048
3,296,296,1765134635013,1765134634071,-942,10.0,35.84
3,306,306,1765134635521,1765134634628,-893,50.0,35.84
3,316,316,1765134636031,1765134635095,-936,7.0,34.048
3,326,326,1765134636538,1765134635596,-942,3.0,34.048
3,336,336,1765134637046,1765134636122,-924,19.0,34.048
3,346,346,1765134637554,1765134636630,-924,19.0,34.048
3,356,356,1765134638062,1765134637122,-940,1.0,36.152
3,366,366,1765134638570,1765134637629,-941,0.0,36.152
3,376,376,1765134639079,1765134638136,-943,0.0,35.84
3,386,386,1765134639588,1765134638653,-935,8.0,35.84
3,396,396,1765134640097,1765134639161,-936,9.0,34.048
3,406,406,1765134640611,1765134639681,-930,16.0,34.048
3,416,416,1765134641120,1765134640182,-938,4.0,35.84
3,426,426,1765134641628,1765134640686,-942,0.0,35.84
3,436,436,1765134642138,1765134641198,-940,6.0,35.84
3,446,446,1765134642646,1765134641703,-943,1.0,35.84
3,456,456,1765134643154,1765134642212,-942,44.0,34.048
3,466,466,1765134643663,1765134642723,-940,1.0,34.048
3,476,476,1765134644172,1765134643242,-930,16.0,35.84
3,486,486,1765134644680,1765134643737,-943,5.0,35.84
3,496,496,1765134645187,1765134644256,-931,7.0,35.84
3,506,506,1765134645694,1765134644751,-943,1.0,35.84
3,516,516,1765134646202,1765134645260,-942,1.0,34.048
3,526,526,1765134646710,1765134645767,-943,15.0,34.048
3,536,536,1765134647219,1765134646278,-941,2.0,35.84
3,546,546,1765134647726,1765134646784,-942,2.0,35.84
3,556,556,1765134648233,1765134647292,-941,3.0,35.84
3,566,566,1765134648740,1765134647808,-932,13.0,35.84
3,576,576,1765134649248,1765134648334,-914,30.0,34.048
3,586,586,1765134649756,1765134648812,-944,1.0,34.048
3,596,596,1765134650265,1765134649325,-940,4.0,35.84
3,606,606,1765134650776,1765134649834,-942,33.0,35.84
3,616,616,1765134651284,1765134650342,-942,8.0,35.84
1,10,10,1765134675717,1765134674870,-847,0,0
1,20,20,1765134676226,1765134675284,-942,3.0,10.752
1,30,30,1765134676733,1765134675797,-936,9.0,10.752
1,40,40,1765134677241,1765134676321,-920,26.0,35.84
1,50,50,1765134677750,1765134676806,-944,5.0,35.84
1,60,60,1765134678258,1765134677325,-933,10.0,34.512
1,70,70,1765134678766,1765134677822,-944,1.0,34.512
1,80,80,1765134679279,1765134678334,-945,1.0,35.84
1,90,90,1765134679787,1765134678843,-944,2.0,35.84
1,100,100,1765134680296,1765134679351,-945,5.0,35.84
1,110,110,1765134680804,1765134679860,-944,2.0,35.84
1,120,120,1765134681311,1765134680367,-944,4.0,34.048
1,130,130,1765134681820,1765134680876,-944,1.0,34.048
1,140,140,1765134682329,1765134681385,-944,15.0,35.84
1,150,150,1765134682837,1765134681893,-944,1.0,35.84
1,160,160,1765134683347,1765134682410,-937,9.0,34.048
1,170,170,1765134683855,1765134682934,-921,24.0,34.048
1,180,180,1765134684367,1765134683423,-944,2.0,35.84
1,190,190,1765134684877,1765134683933,-944,0.0,35.84
1,200,200,1765134685389,1765134684445,-944,6.0,35.84
1,210,210,1765134685899,1765134684954,-945,2.0,35.84
1,220,220,1765134686435,1765134685491,-944,27.0,34.048
1,230,230,1765134686947,1765134686003,-944,2.0,34.048
1,240,240,1765134687458,1765134686522,-936,2.0,34.048
1,250,250,1765134687968,1765134687023,-945,1.0,35.84
1,260,260,1765134688478,1765134687534,-944,1.0,35.84
1,270,270,1765134688990,1765134688045,-945,1.0,35.84
1,280,280,1765134689501,1765134688557,-944,1.0,35.84
1,290,290,1765134690012,1765134689068,-944,2.0,34.048
1,300,300,1765134690527,1765134689625,-902,36.0,34.048
1,310,310,1765134691042,1765134690129,-913,21.0,34.048
1,320,320,1765134691557,1765134690617,-940,2.0,34.048
1,330,330,1765134692101,1765134691163,-938,0.0,34.048
1,340,340,1765134692615,1765134691678,-937,2.0,34.048
1,350,350,1765134693129,1765134692192,-937,2.0,35.84
1,360,360,1765134693661,1765134692729,-932,6.0,35.84
1,370,370,1765134694178,1765134693242,-936,1.0,34.048
1,380,380,1765134694692,1765134693765,-927,7.0,34.048
1,390,390,1765134695209,1765134694275,-934,6.0,34.048
1,400,400,1765134695725,1765134694789,-936,13.0,34.048
1,410,410,1765134696241,1765134695300,-941,0.0,35.84
1,420,420,1765134696756,1765134695822,-934,0.0,35.84
1,430,430,1765134697274,1765134696340,-934,5.0,34.048
1,440,440,1765134697793,1765134696858,-935,2.0,34.048
1,450,450,1765134698311,1765134697379,-932,8.0,34.048
1,460,460,1765134698821,1765134697877,-944,1.0,34.048
1,470,470,1765134699334,1765134698394,-940,7.0,35.84
1,480,480,1765134699849,1765134698905,-944,1.0,35.84
1,490,490,1765134700385,1765134699464,-921,22.0,34.048
1,500,500,1765134700897,1765134699955,-942,3.0,34.048
1,510,510,1765134701408,1765134700482,-926,12.0,34.048
1,520,520,1765134701918,1765134700973,-945,1.0,34.048
1,530,530,1765134702432,1765134701491,-941,9.0,35.84
1,540,540,1765134702958,1765134702024,-934,4.0,34.048
1,550,550,1765134703469,1765134702535,-934,50.0,34.048
1,560,560,1765134703981,1765134703037,-944,3.0,35.84
1,570,570,1765134704521,1765134703593,-928,11.0,35.84
1,580,580,1765134705040,1765134704096,-944,15.0,34.36
1,590,590,1765134705570,1765134704634,-936,0.0,34.36
1,600,600,1765134706087,1765134705152,-935,19.0,34.048
1,610,610,1765134706600,1765134705670,-930,16.0,34.048
1,620,620,1765134707142,1765134706211,-931,16.0,32.256
1,630,630,1765134707658,1765134706730,-928,10.0,32.256
1,640,640,1765134708183,1765134707245,-938,1.0,35.84
1,650,650,1765134708719,1765134707782,-937,0.0,35.84
1,660,660,1765134709236,1765134708301,-935,11.0,34.048
1,670,670,1765134709778,1765134708840,-938,1.0,34.048
1,680,680,1765134710303,1765134709368,-935,15.0,32.256
1,690,690,1765134710817,1765134709881,-936,2.0,32.256
1,700,700,1765134711334,1765134710411,-923,16.0,35.84
1,710,710,1765134711848,1765134710923,-925,10.0,35.84
1,720,720,1765134712361,1765134711424,-937,0.0,34.048
1,730,730,1765134712873,1765134711928,-945,6.0,34.048
1,740,740,1765134713384,1765134712439,-945,4.0,35.84
1,750,750,1765134713909,1765134712969,-940,2.0,35.84
1,760,760,1765134714421,1765134713485,-936,3.0,34.048
1,770,770,1765134714938,1765134713994,-944,6.0,34.048
1,780,780,1765134715472,1765134714535,-937,1.0,35.84
1,790,790,1765134715991,1765134715110,-881,50.0,30.464
1,800,800,1765134716503,1765134715569,-934,0.0,30.464
1,810,810,1765134717015,1765134716093,-922,11.0,37.632
1,820,820,1765134717532,1765134716603,-929,16.0,37.632
1,830,830,1765134718056,1765134717123,-933,11.0,34.048
1,840,840,1765134718567,1765134717641,-926,19.0,34.048
1,850,850,1765134719078,1765134718140,-938,5.0,35.84
1,860,860,1765134719586,1765134718649,-937,7.0,35.84
1,870,870,1765134720095,1765134719151,-944,4.0,34.048
1,880,880,1765134720604,1765134719658,-946,1.0,34.048
1,890,890,1765134721112,1765134720167,-945,21.0,35.84
1,900,900,1765134721619,1765134720674,-945,0.0,35.84
1,910,910,1765134722128,1765134721186,-942,1.0,35.84
1,920,920,1765134722637,1765134721724,-913,33.0,35.84
1,930,930,1765134723145,1765134722228,-917,28.0,34.048
1,940,940,1765134723653,1765134722709,-944,2.0,34.048
1,950,950,1765134724162,1765134723228,-934,12.0,35.84
1,960,960,1765134724669,1765134723725,-944,1.0,35.84
1,970,970,1765134725184,1765134724240,-944,2.0,35.84
1,980,980,1765134725692,1765134724764,-928,18.0,35.84
1,990,990,1765134726202,1765134725258,-944,47.0,34.048
1,1000,1000,1765134726710,1765134725765,-945,1.0,34.048
1,1010,1010,1765134727219,1765134726277,-942,4.0,35.84
1,1020,1020,1765134727727,1765134726804,-923,22.0,35.84
1,1030,1030,1765134728235,1765134727290,-945,3.0,35.84
1,1040,1040,1765134728744,1765134727807,-937,6.0,35.84
1,1050,1050,1765134729253,1765134728307,-946,3.0,34.048
1,1060,1060,1765134729761,1765134728847,-914,25.0,34.048
1,1070,1070,1765134730270,1765134729325,-945,4.0,35.84
1,1080,1080,1765134730779,1765134729834,-945,0.0,35.84
1,1090,1090,1765134731288,1765134730342,-946,3.0,35.84
1,1100,1100,1765134731798,1765134730854,-944,0.0,35.84
1,1110,1110,1765134732308,1765134731362,-946,1.0,34.048
1,1120,1120,1765134732817,1765134731875,-942,2.0,34.048
1,1130,1130,1765134733327,1765134732381,-946,0.0,35.84
1,1140,1140,1765134733834,1765134732889,-945,1.0,35.84
1,1150,1150,1765134734342,1765134733400,-942,4.0,35.84
1,1160,1160,1765134734849,1765134733946,-903,41.0,35.84
1,1170,1170,1765134735357,1765134734414,-943,1.0,34.048
1,1180,1180,1765134735864,1765134734919,-945,2.0,34.048
1,1190,1190,1765134736372,1765134735430,-942,2.0,35.84
3,145,145,1765134974488,1765134973746,-742,0,0
3,155,155,1765134974996,1765134974049,-947,10.0,18.384
3,165,165,1765134975505,1765134974579,-926,4.0,18.384
3,175,175,1765134976012,1765134975066,-946,4.0,35.84
3,185,185,1765134976521,1765134975572,-949,0.0,35.84
3,195,195,1765134977029,1765134976102,-927,16.0,34.048
3,205,205,1765134977537,1765134976591,-946,16.0,34.048
3,215,215,1765134978044,1765134977115,-929,1.0,37.632
3,225,225,1765134978553,1765134977617,-936,50.0,37.632
3,235,235,1765134979060,1765134978120,-940,10.0,34.048
3,245,245,1765134979570,1765134978622,-948,1.0,34.048
3,255,255,1765134980082,1765134979133,-949,2.0,35.84
3,265,265,1765134980589,1765134979639,-950,1.0,35.84
3,275,275,1765134981096,1765134980148,-948,2.0,34.048
3,285,285,1765134981605,1765134980658,-947,1.0,34.048
3,295,295,1765134982114,1765134981166,-948,4.0,35.84
3,305,305,1765134982621,1765134981673,-948,1.0,35.84
3,315,315,1765134983130,1765134982181,-949,2.0,35.84
3,325,325,1765134983641,1765134982692,-949,1.0,35.84
3,335,335,1765134984151,1765134983305,-846,105.0,35.84
3,345,345,1765134984660,1765134983725,-935,15.0,35.84
3,355,355,1765134985168,1765134984237,-931,19.0,34.048
3,365,365,1765134985676,1765134984737,-939,8.0,34.048
3,375,375,1765134986185,1765134985238,-947,3.0,35.84
3,385,385,1765134986694,1765134985745,-949,0.0,35.84
3,395,395,1765134987202,1765134986252,-950,31.0,34.048
3,405,405,1765134987710,1765134986785,-925,24.0,34.048
3,415,415,1765134988218,1765134987275,-943,7.0,35.84
3,425,425,1765134988727,1765134987779,-948,0.0,35.84
3,435,435,1765134989236,1765134988329,-907,27.0,34.36
3,445,445,1765134989745,1765134988795,-950,0.0,34.36
3,455,455,1765134990253,1765134989304,-949,14.0,37.632
3,465,465,1765134990760,1765134989817,-943,6.0,37.632
3,475,475,1765134991269,1765134990324,-945,7.0,34.048
3,485,485,1765134991777,1765134990828,-949,1.0,34.048
3,495,495,1765134992286,1765134991385,-901,100.0,35.84
3,505,505,1765134992795,1765134991848,-947,23.0,35.84
3,515,515,1765134993303,1765134992359,-944,6.0,34.048
3,525,525,1765134993811,1765134992863,-948,12.0,34.048
3,535,535,1765134994320,1765134993514,-806,137.0,34.048
3,545,545,1765134994832,1765134993883,-949,1.0,34.048
3,555,555,1765134995339,1765134994391,-948,12.0,35.84
3,565,565,1765134995846,1765134994917,-929,21.0,35.84
3,575,575,1765134996354,1765134995410,-944,6.0,35.84
3,585,585,1765134996863,1765134995918,-945,3.0,35.84
3,595,595,1765134997373,1765134996429,-944,6.0,34.048
3,605,605,1765134997881,1765134996941,-940,10.0,34.048
3,615,615,1765134998389,1765134997440,-949,1.0,35.84
3,625,625,1765134998899,1765134997949,-950,1.0,35.84
3,635,635,1765134999410,1765134998460,-950,0.0,34.048
3,645,645,1765134999918,1765134998968,-950,0.0,34.048
3,655,655,1765135000427,1765134999478,-949,1.0,35.84
3,665,665,1765135000941,1765134999995,-946,4.0,35.84
3,675,675,1765135001454,1765135000505,-949,1.0,35.84
3,685,685,1765135001962,1765135001027,-935,3.0,34.048
3,695,695,1765135002470,1765135001529,-941,3.0,34.048
3,705,705,1765135002981,1765135002038,-943,5.0,35.84
3,715,715,1765135003490,1765135002549,-941,9.0,35.84
3,725,725,1765135003999,1765135003050,-949,19.0,34.048
3,735,735,1765135004508,1765135003559,-949,1.0,34.048
3,745,745,1765135005017,1765135004069,-948,1.0,35.84
3,755,755,1765135005525,1765135004576,-949,1.0,35.84
3,765,765,1765135006034,1765135005087,-947,3.0,35.84
3,775,775,1765135006545,1765135005595,-950,15.0,35.84
3,785,785,1765135007057,1765135006108,-949,2.0,34.048
3,795,795,1765135007566,1765135006619,-947,3.0,34.048
3,805,805,1765135008074,1765135007125,-949,7.0,35.84
3,815,815,1765135008581,1765135007632,-949,1.0,35.84
3,825,825,1765135009091,1765135008142,-949,2.0,35.84
3,835,835,1765135009600,1765135008651,-949,1.0,35.84
3,845,845,1765135010110,1765135009161,-949,2.0,34.048
3,855,855,1765135010621,1765135009673,-948,2.0,34.048
3,865,865,1765135011130,1765135010181,-949,1.0,35.84
3,875,875,1765135011640,1765135010691,-949,1.0,35.84
3,885,885,1765135012150,1765135011202,-948,2.0,34.048
3,895,895,1765135012658,1765135011726,-932,15.0,34.048
3,905,905,1765135013169,1765135012231,-938,12.0,35.84
3,915,915,1765135013680,1765135012731,-949,12.0,35.84
3,925,925,1765135014189,1765135013240,-949,9.0,35.84
3,935,935,1765135014698,1765135013749,-949,10.0,35.84
3,945,945,1765135015207,1765135014260,-947,3.0,34.048
3,955,955,1765135015718,1765135014769,-949,2.0,34.048
3,965,965,1765135016229,1765135015287,-942,9.0,35.84
